000134439936|R|Fairway Independent Mortgage Corporation|5.125|528000.00|360|082022|102022|092052|80|4|50|770|807|Y|P|SF|1|P|WA|36500|985||FRM|N|N|
000134439938|R|Rocket Mortgage, LLC|5.990|252000.00|360|072022|092022|082052|70|1|40|664||N|C|PU|1|P|FL|33100|334||FRM|N|N|
000134439939|B|Home Point Financial Corporation|5.000|272000.00|360|082022|102022|092052|80|1|41|730||Y|P|SF|1|P|CA|33700|953||FRM|N|N|
000134439940|C|Wells Fargo Bank, N.A.|5.375|322000.00|360|092022|112022|102052|70|1|31|804||N|P|SF|1|P|TX|19100|750||FRM|N|N|
000134439941|C|PHH Mortgage Corporation|6.000|200000.00|360|082022|102022|092052|65|1|42|654||N|P|SF|1|P|TN|00000|373||FRM|N|N|
000134439943|B|Home Point Financial Corporation|5.375|576000.00|360|082022|102022|092052|80|2|28|765|781|Y|P|SF|1|P|NY|35620|103||FRM|N|N|
000134439944|R|CrossCountry Mortgage, LLC|6.325|440000.00|360|082022|102022|092052|80|2|49|742|689|Y|P|SF|1|P|MN|33460|551||FRM|N|N|
000134439945|C|Lakeview Loan Servicing, LLC|5.375|152000.00|360|082022|102022|092052|70|1|39|717||Y|P|CO|1|P|CA|40900|956||FRM|N|N|
000134439946|R|Amerisave Mortgage Corporation|4.875|500000.00|360|082022|102022|092052|70|1|50|756||N|C|PU|1|P|CO|19740|800||FRM|N|N|
